PID_79,HHID_79,core_sample,sample_wgts,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_HS,AFQT,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1978,real_earnings_1979,real_earnings_1980,real_earnings_1981,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1978,weeks_worked_1979,weeks_worked_1980,weeks_worked_1981,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79
1,1,1,602156.31,9,58,1,1,0,1,0,0,0,,,11,,,12,8,8,15451.207,,13231.554,,,,,,,,,,,,,,,,,,,,,,,52,,52,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
2,2,1,816100.38,1,59,1,1,0,0,0,0,0,1,6.8410001,8,355,12,9,8,5,13377.669,15017.631,15877.864,23988.559,24856.125,25177.148,23085.813,28371.598,31832.992,38390.141,35021.672,35170.324,33367.406,35221.969,38855.309,0,0,0,0,0,0,6140.8501,5258.3652,6098.4165,18418.611,34,52,52,52,52,52,52,52,52,52,52,52,52,52,52,5,0,0,0,0,18,52,52,52,52,1,0,0,0
3,3,1,572996.38,8,61,1,0,0,1,0,0,0,0,49.444,13,416,10,10,12,10,,21024.684,,16791.99,0,0,2728.3235,0,2984.343,1919.5071,0,10551.097,6673.4814,6403.9941,9325.2744,0,60094.172,951.02307,0,0,,0,31550.193,,33929.02,38,40,,19,0,0,23,0,24,7,15,39,0,20,52,3,0,10,52,0,,43,0,,52,1,0,0,0
4,3,1,604567.88,8,62,1,0,0,1,0,0,0,0,55.761002,8,,14,14,12,11,,,0,2605.1575,158.17534,0,0,14185.799,34817.336,40923.891,40109.031,0,,48830.457,51289.008,,50078.477,17661.857,,,,,,,,0,,0,16,2,0,0,32,48,37,48,0,,52,52,,52,40,,,,,,,,1,0,0,0
5,5,1,764753,7,59,1,1,0,1,1,0,0,1,96.772003,9,506,18,18,12,12,7357.7178,6007.0522,8997.4561,5517.3687,4971.2251,22987.832,,117539.48,,115170.42,95848.789,,,,,,,,,,,,,,,46,46,52,26,13,12,,52,,52,52,,,,,,,,,,,,,,,1,0,0,0
6,5,1,636938,10,60,1,1,0,1,1,0,0,1,99.392998,12,574,16,16,12,12,4682.1841,5105.9946,8468.1943,7796.2817,1656.3218,13135.903,26863.492,32627.338,35812.117,38390.141,40551.41,40445.871,41709.258,41625.961,43517.945,49043.738,50078.477,,52354.383,53559.773,66957.414,72573.68,90443.883,91781.172,101787.06,32,9,30,30,25,34,52,52,52,52,52,52,52,52,52,52,52,,52,52,52,52,52,52,52,1,0,0,0
7,7,1,674417,6,64,1,0,1,1,1,0,0,0,47.411999,12,532,12,12,12,12,,,,11934.308,21466.652,0,0,0,0,0,0,0,2502.5554,1600.9985,0,40744.027,36628.828,36410.598,32721.488,33859.629,35552.609,21213.846,34179.375,0,,,,52,52,52,8,0,0,0,0,0,0,20,22,1,39,52,52,52,52,52,0,31,0,,1,0,0,0
8,8,1,148170,7,58,1,1,0,1,0,0,0,1,44.021999,7,476,12,12,6,9,668.88342,10512.342,16211.299,17991.42,18077.182,21893.172,16789.682,0,17906.059,8132.9512,28570.313,29894.773,29863.828,28817.973,27975.822,30935.281,34339.527,29889.297,35862.75,38784.664,40292.957,40194.656,43118.598,42687.898,38776.023,4,25,51,52,52,52,52,1,50,26,51,52,52,52,52,52,52,52,52,52,52,50,52,50,52,1,0,0,0
9,9,1,637257,7,63,1,0,0,1,1,0,0,0,59.682999,4,550,14,13,10,12,,,,11994.279,6778.9429,15325.221,12099.064,14185.799,29843.43,34551.125,38708.164,52755.484,41709.258,40024.965,29530.035,30180.762,74402.313,0,68060.695,61562.957,65179.781,72573.68,52583.652,52852.945,72705.047,,,48,49,52,52,52,52,52,52,52,52,52,52,42,23,52,52,52,52,52,52,52,52,52,1,0,0,0
10,10,1,133082,10,60,1,0,1,1,0,0,0,0,30.039,10,412,9,9,12,12,0,1802.1157,12053.945,21589.703,20336.828,6567.9517,12592.262,,,9597.5352,,7034.0645,20020.443,28817.973,18650.549,22635.57,,,,,,,,,,0,32,52,52,52,44,34,,,46,,27,45,52,52,52,,,,,,,,,,1,0,0,0
11,11,1,725449,7,59,1,0,1,1,1,0,0,1,85.347,10,,,16,12,12,9698.8096,,5292.6216,9600.2217,18077.182,37218.395,41974.207,,,,84789.313,123096.13,101770.59,88054.922,93252.742,120723.05,85848.82,33965.109,71987.273,18468.887,35552.609,,,,,33,,52,47,39,50,52,,,,52,47,7,52,52,51,52,22,52,13,12,,,,,1,0,0,0
12,12,1,816100.38,9,59,1,1,0,1,0,0,0,1,89.640999,4,647,,16,12,15,6759.0669,3000.5227,15877.864,21589.703,42255.41,45975.664,52467.758,,,,,,,,62168.496,64285.02,,,,,,,,,,13,19,50,26,52,52,52,,,,,,,,52,52,,,,,,,,,,1,0,0,0
13,13,1,917150,8,58,1,1,0,1,1,0,0,1,72.313004,,516,16,16,16,12,6688.8345,9010.5781,26463.107,44378.832,33894.715,37218.395,44217.727,47015.793,4377.0366,42229.156,57140.625,70340.648,76745.031,67241.938,71493.773,61870.563,74402.313,56517.941,78531.57,44325.332,45033.305,8932.1455,,,,52,52,52,52,52,52,52,52,52,44,52,52,52,52,52,52,52,52,52,5,41,52,,,,1,0,0,0
14,13,1,753627.38,10,63,1,1,0,1,0,0,0,0,98.797997,6,468,16,16,12,12,,,,5037.5972,6778.9429,6786.8833,11542.906,12159.257,34817.336,45108.414,25805.443,42204.387,41709.258,49630.953,43517.945,43762.105,41493.598,40758.129,62825.258,81263.109,105472.74,129516.11,89392.211,96558.266,98878.859,,,13,13,33,48,52,41,52,52,44,42,52,52,52,52,34,52,52,52,52,52,31,52,52,1,0,0,0
15,15,1,741859,2,64,1,1,0,1,1,0,0,0,82.260002,8,506,16,16,12,12,,,,0,2033.6829,2846.1125,4617.1626,2431.8513,15916.496,4798.7676,0,0,3336.7407,48029.957,40409.523,45271.141,54370.918,0,0,0,0,0,0,0,0,,,,6,7,12,32,25,52,51,50,0,3,52,49,52,52,0,0,0,0,0,0,0,0,1,0,0,0
16,16,1,779093.5,10,58,1,1,0,1,0,0,0,1,50.283001,9,523,13,12,12,12,27424.221,33038.789,18524.174,28306.5,35024.539,35029.078,40924.852,46610.484,53718.176,65263.238,67278.477,63306.582,58392.961,60037.445,52843.223,42253.066,35770.34,29889.297,49736.664,48019.109,77030.648,79272.789,69410.422,65049.777,67858.039,49,52,34,52,52,52,52,52,51,52,52,52,46,52,52,52,52,43,52,52,52,52,52,51,52,1,0,0,0
17,17,1,904257,1,57,1,0,1,1,1,0,0,1,89.668999,7,500,13,13,15,12,33444.172,40397.426,39694.66,38381.695,36154.363,39407.711,37776.785,32424.684,39791.242,46068.168,49767.641,56272.516,20020.443,24014.979,18650.549,24254.77,28616.273,23775.576,62825.258,94806.953,73475.391,48010.281,52583.652,50820.137,58164.035,52,52,52,52,51,52,51,50,52,52,52,52,52,52,40,52,32,46,52,52,52,52,52,52,52,1,0,0,0
18,17,1,851639,3,58,,,,1,1,0,0,1,95.976997,7,597,13,12,16,12,15049.877,15017.631,31755.729,35982.84,38414.012,54732.934,62961.309,67706.797,55707.738,124767.96,134556.95,175851.61,166837.03,6588248,243015.09,253061.16,114465.09,100536.73,259311.25,290577.16,94806.953,133982.19,105167.3,60984.164,145410.09,29,31,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,48,52,52,0,0,1,0
19,19,1,822825.38,12,57,1,1,0,1,0,0,0,,,9,569,12,12,12,10,13377.669,25529.973,26463.107,21589.703,,0,0,1013.2714,11937.372,0,0,0,0,0,0,0,,0,,,,0,,0,,52,45,45,52,,0,0,6,52,0,0,0,0,0,0,0,,0,,,,0,,0,,1,0,0,0
20,20,1,757807.25,11,59,1,1,0,1,0,0,0,1,67.021004,10,440,16,15,18,12,4013.3005,3604.2314,3969.4661,19190.848,45192.953,45975.664,41974.207,48637.027,53718.176,53746.195,55297.379,59789.547,40040.887,56034.949,59060.07,61568.754,65817.43,65213.008,68060.695,55406.664,87696.438,71457.164,92547.234,,111481.07,13,32,12,26,52,46,52,52,52,52,52,52,33,51,52,52,52,52,52,52,52,52,52,,52,1,0,0,0
21,20,1,638480.38,6,61,1,1,0,1,0,0,0,1,88.416,7,582,16,16,18,12,,5817.8301,8732.8252,4797.7119,13557.886,17295.605,15005.778,26395.719,36806.898,41749.277,51610.887,52755.484,53387.852,56034.949,63722.707,76206.422,79410.156,74723.242,107326.48,135438.52,118508.7,312419.66,323729.16,317446.97,333309,27,36,18,28,39,52,47,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,36,1,0,0,0
22,22,1,699796.19,1,63,1,1,0,1,0,0,0,1,89.167,7,356,16,16,12,12,,,5821.8833,4797.7119,5649.1191,9414.0645,9024.4541,17914.639,18900.84,35510.879,30413.559,27257,27027.6,28177.574,27820.402,26709.975,21462.205,47551.152,47118.945,43094.07,11850.869,50578.273,47956.293,40656.109,38776.023,29,26,46,22,50,50,42,40,52,52,52,52,52,52,52,52,52,52,52,52,18,52,52,50,52,1,0,0,0
23,23,1,764292,9,58,1,1,0,1,1,0,0,1,83.213997,8,,,15,12,12,15384.319,25229.619,8732.8252,6716.7964,0,,,,,,,,83418.516,72044.938,,,,,,,,,,,,40,52,18,16,0,,,,,,,,52,52,,,,,,,,,,,,1,0,0,0
24,23,1,701784,1,61,1,1,0,1,1,0,0,0,66.028999,8,584,12,12,12,12,7023.2759,5992.0347,5027.9902,21109.932,13772.553,,8394.8408,16212.342,35812.117,46068.168,55297.379,52755.484,,17610.984,49734.797,52816.332,45786.035,46192.547,,,,,,,,35,21,10,47,27,,21,36,49,52,52,52,,52,52,47,52,52,,,,,,,,1,0,0,0
25,25,1,680083.81,11,59,1,1,0,1,0,0,0,1,51.389999,10,416,14,14,16,14,1076.9023,12170.288,25139.951,26387.414,24856.125,24082.49,27283.234,34248.574,38796.461,40309.648,41473.035,43962.902,36704.148,13448.388,12433.699,18108.457,25754.646,20379.064,26177.191,24625.184,23701.738,25679.918,34705.211,33297.355,33929.02,11,29,52,52,52,52,52,52,52,52,52,52,45,49,52,52,52,52,52,52,52,52,52,52,52,1,0,0,0
26,26,1,559040,9,62,1,0,0,1,1,0,0,1,97.074997,8,520,16,15,17,16,,,5027.9902,8635.8809,8360.6963,15325.221,2260.311,0,0,0,0,0,0,0,0,,,,,,,,,96558.266,101787.06,18,29,51,50,52,22,25,0,0,0,0,0,0,0,0,,,,,,,,,52,52,1,0,0,0
27,27,1,627986.81,5,60,1,1,0,1,0,0,0,1,96.674004,6,482,16,13,20,14,7240.6631,8548.0352,19318.068,23165.752,27115.771,30540.977,36937.301,7498.208,0,0,0,0,0,0,0,0,236.08426,11601.123,17180.09,0,0,0,16583.832,16262.444,15545.308,52,50,52,50,52,52,52,36,0,0,0,0,0,0,0,13,10,52,44,0,0,0,39,52,52,1,0,0,0
28,27,1,729829.06,1,64,1,1,0,1,0,0,0,0,92.783997,13,394,12,12,20,14,0,,,4797.7119,8360.6963,18828.129,26233.879,30088.08,30838.211,35510.879,39629.789,45721.418,38372.516,20812.98,38855.309,30180.762,22893.018,19020.461,31412.629,,,,,0,,,,30,49,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,,,,47,,1,0,0,0
29,29,1,632494.75,10,60,1,1,0,0,0,0,0,1,25.905001,10,647,12,12,4,0,22608.26,23277.328,24716.541,19670.619,27793.666,31195.582,29381.943,31952.5,33822.555,36470.633,38708.164,52755.484,58392.961,59236.945,63722.707,,58663.359,67930.219,65442.977,75106.813,73475.391,94904.047,65203.73,30492.082,5040.8833,52,52,52,45,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,42,52,52,1,0,0,0
30,29,1,704205.81,11,58,1,1,0,0,0,0,0,1,8.5279999,13,463,12,12,6,0,16089.991,22826.799,26992.369,3598.2839,,5429.5068,5876.3887,49700.961,10558.605,,0,0,0,0,0,0,0,0,0,0,42663.129,71230.508,0,0,0,38,52,52,19,,47,52,52,52,52,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,31,1,104448,10,63,1,0,1,1,1,1,0,,,9,602,12,12,3,9,,,,0,0,0,5933.0542,27560.98,31832.992,12476.796,36864.918,26377.742,25025.555,33620.969,34192.672,46780.18,,50268.363,34030.348,44325.332,42663.129,44660.727,48376.961,0,40714.824,,,8,0,0,1,20,49,52,51,52,50,52,52,52,52,,52,52,52,52,52,52,52,44,1,0,0,0
32,32,1,125740,11,57,1,1,0,0,0,1,0,,,6,,16,16,12,12,668.88342,,3704.835,26387.414,22596.477,21893.172,23085.813,12159.257,11937.372,44148.66,46081.148,,,9605.9912,46626.371,45271.141,44355.223,,,,,39078.137,,76230.211,,12,,33,52,52,49,52,32,21,31,52,,,18,44,52,52,,,,52,52,,52,,1,0,0,0
33,32,1,147205,5,62,1,1,0,1,1,1,0,,,11,,,,15,12,,,,,,,,,,,,,6673.4814,5123.1953,,,,,,,,0,0,0,0,8,,,,,,,,,,,,0,0,16,52,52,,,,,0,0,0,0,1,0,0,0
34,34,1,667292,12,58,1,1,0,1,1,0,0,1,6.0689998,9,553,13,13,12,13,2140.427,10211.989,15877.864,25667.758,45192.953,61300.883,54566.469,40530.855,59686.859,61424.227,73729.836,8792.5811,75076.664,67241.938,66831.133,63379.598,34339.527,47551.152,45810.086,30781.479,35552.609,312419.66,3786.0232,30492.082,51378.23,26,20,45,52,52,47,45,50,52,52,52,38,50,52,52,52,20,52,29,52,52,52,49,52,5,1,0,0,0
35,34,1,552151.38,8,63,1,0,1,1,0,0,0,0,53.046001,10,556,13,13,12,12,,,,0,0,0,18888.393,19252.156,25864.307,36470.633,,40445.871,39707.215,36822.965,38855.309,40744.027,27185.459,32606.504,,,,,,,,,,0,0,0,0,43,52,52,52,52,52,52,52,52,52,52,52,,,,,,,,1,0,0,0
36,36,1,488089,8,62,1,0,0,1,1,0,0,,,8,331,12,12,12,14,,9611.2842,3704.835,7196.5679,22031.564,29242.711,18888.393,,45759.926,72941.266,84789.313,,41197.066,40024.965,37611.941,41196.738,27185.459,55702.777,0,80031.844,136285,0,31550.193,0,37321.922,7,19,2,38,50,52,32,,52,52,52,52,52,52,52,52,52,51,50,52,52,50,52,0,52,1,0,0,0
37,37,1,623758.81,10,58,1,1,0,1,0,0,0,1,56.290001,8,433,12,12,12,12,25752.012,28533.498,34402.039,28786.271,28245.596,28898.988,28752.332,31006.104,32429.861,36470.633,38708.164,36928.84,16683.703,0,0,0,0,3260.6504,17015.174,36937.773,40292.957,41311.172,39963.578,44721.723,42653.625,52,52,52,52,52,52,52,52,52,52,52,52,16,0,0,0,0,18,52,52,52,52,52,52,52,1,0,0,0
38,37,1,539346.69,8,62,1,1,0,1,0,0,0,0,12.788,9,482,12,12,12,12,,,2249.364,10075.194,23500.336,24082.49,14061.359,24318.514,25864.307,38390.141,38708.164,40094.168,41709.258,41625.961,52843.223,50537.684,42924.41,55702.777,57589.82,71413.031,72477.547,78156.273,91495.555,99099.273,90154.258,0,0,20,52,52,52,22,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,0,0,0
39,39,1,677513,2,59,0,1,0,1,1,0,0,1,26.851,10,,12,12,12,12,24046.359,,10585.243,23988.559,28019.631,37218.395,14690.972,30398.141,52723.395,64879.34,70043.344,79133.227,75076.664,112069.9,83927.469,72433.828,77263.938,73364.633,74604.992,92344.438,130359.56,74806.719,59945.367,60984.164,60102.836,51,,50,46,51,52,23,47,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,0,0,0
40,40,1,568462.63,2,60,1,0,1,1,1,0,0,1,38.418999,8,394,13,13,12,10,1337.7668,9010.5781,1058.5243,0,40673.656,32839.758,0,0,5968.686,0,7372.9839,1318.8871,5839.2959,2241.3979,3885.531,45271.141,3577.0342,0,0,1970.0146,829.56085,0,0,40656.109,43623.027,15,37,15,0,46,52,4,0,6,10,21,52,52,36,1,32,52,52,52,52,52,52,52,10,21,1,0,0,0
41,40,1,498940.81,4,62,1,0,1,1,1,0,0,1,57.095001,4,551,15,13,12,10,,,1323.1554,11994.279,27115.771,30650.441,32739.881,34451.227,39791.242,42229.156,55297.379,61548.066,80081.773,104064.91,107240.66,90542.281,95864.516,,150518.84,129282.21,86511.352,133982.19,105167.3,132132.36,126022.08,18,11,17,36,52,52,52,52,52,52,52,52,52,52,52,52,52,,52,52,52,52,52,52,52,1,0,0,0
42,42,1,564561,9,63,1,1,0,0,1,0,0,0,22.326,7,517,12,12,12,14,,,,4078.0549,2711.5771,13135.903,37776.785,30398.141,0,0,0,52755.484,40040.887,14408.986,45849.266,48289.219,50078.477,57061.383,65442.977,55406.664,56884.176,50243.316,53635.328,48787.332,43623.027,,,16,12,40,30,52,52,2,0,0,38,52,50,52,47,52,52,52,52,52,52,52,52,52,1,0,0,0
43,43,1,108328,6,61,1,0,0,1,0,0,0,1,15.325,11,,12,12,9,10,,1802.1157,1005.5981,10794.852,,963.29962,6296.1309,10687.986,7958.248,11517.042,4202.6011,1688.1755,3336.7407,,0,0,0,2490.3218,7853.1572,0,0,0,0,0,0,11,27,12,45,15,7,36,52,49,35,38,10,7,12,6,0,0,52,48,9,0,0,0,0,0,1,0,0,0
44,44,1,511180.5,4,61,1,1,0,1,0,0,0,1,37.061001,7,435,12,12,12,12,,4805.6421,18524.174,12270.147,0,2627.1807,0,0,0,0,0,0,0,4802.9956,8081.9043,,,0,0,0,0,8038.9307,21327.93,29597.648,,15,15,45,35,0,41,0,0,0,0,0,0,0,29,52,,52,0,0,0,0,44,52,52,52,1,0,0,0
45,45,1,677513,11,59,1,0,1,1,1,0,0,1,50.629002,8,478,12,12,10,9,10702.135,37544.078,37048.348,26387.414,29827.35,36123.734,35678.074,44583.941,43770.363,72941.266,64513.609,70340.648,53387.852,40024.965,0,30180.762,,,,,,,,,,52,50,52,49,52,52,52,52,52,52,52,52,43,37,52,52,,,,,,,,,,1,0,0,0
46,46,1,543049,11,62,1,0,0,0,0,0,0,0,78.095001,8,647,18,16,12,12,,,10585.243,6716.7964,0,0,1636.994,5066.3569,35812.117,51826.691,51610.887,56272.516,56724.59,54433.949,51289.008,54325.371,25754.646,40758.129,39265.785,40631.555,41478.043,46893.762,50480.309,,,0,38,50,29,0,0,26,50,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,,,1,0,0,0
47,47,1,682164,2,59,1,1,0,1,1,0,0,1,75.473,4,435,12,12,16,12,30099.754,47155.359,51073.797,51095.629,31635.066,21893.172,48270.336,60593.629,61676.422,63343.73,62670.363,70340.648,75076.664,56034.949,73047.984,64888.637,77263.938,103253.93,85075.867,71406.875,49773.652,74035.203,71513.766,69115.391,72705.047,50,47,50,52,38,38,51,52,52,52,52,52,52,52,52,52,48,52,47,39,52,52,52,52,52,1,0,0,0
48,48,1,700855.38,10,58,1,0,1,1,1,0,0,1,24.806,9,435,,12,12,12,20066.504,36042.313,,38381.695,45192.953,,,,,,47924.395,,20020.443,16009.985,0,0,,,,,,,,,,44,52,,52,52,,,,,,52,,45,0,0,0,,,,,,,,,,1,0,0,0
49,49,1,640886.56,5,58,1,1,0,1,0,0,0,1,71.225998,9,551,14,14,12,12,13377.669,30035.262,26463.107,29985.699,32764.891,19898.705,18888.393,25647.926,33822.555,26873.098,31335.182,33763.508,36704.148,39635.922,42299.445,36126.371,44628.508,44833.945,43664.863,43094.07,47284.969,37961.617,0,55902.152,70766.242,47,52,52,52,52,49,52,52,52,48,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,0,0,0
50,50,1,640886.56,9,58,1,0,1,1,0,0,0,0,78.741997,10,445,12,12,10,9,23307.244,24412.66,13231.554,28009.041,29375.42,31745.1,35678.074,38504.313,38995.418,40309.648,18248.135,4572.1421,39540.375,43226.961,35746.887,4708.1987,14308.137,20379.064,35339.207,25856.443,35552.609,0,38280.898,50311.938,53317.031,52,50,32,52,52,51,52,39,52,52,30,23,52,52,52,52,52,52,52,52,52,21,52,51,52,1,0,0,0
51,50,1,580064,1,63,1,0,1,1,1,0,0,,,7,,,,12,9,1337.7668,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
52,52,1,695698,9,58,1,1,0,1,1,0,0,1,69.080002,8,582,14,14,14,12,23410.92,40547.602,44987.281,40780.551,49712.25,54732.934,58763.887,,,,,,,,,,,,,,,,,,333309,29,52,48,52,52,52,52,,,,,,,,,,,,,,,,,,52,1,0,0,0
53,53,1,84462,3,63,1,1,0,1,1,1,0,0,43.640999,6,510,12,12,4,8,,,,2146.9761,0,875.72693,6296.1309,1013.2714,1193.7372,,,6682.3613,0,0,0,0,0,0,1570.6315,0,0,362.86841,2579.7542,6098.4165,0,,,22,14,0,7,2,8,3,0,21,15,0,0,0,0,0,0,9,0,0,18,52,49,0,1,0,0,0
54,54,1,618159,6,58,1,1,0,1,1,0,0,,,8,435,10,10,5,3,33444.172,33038.789,5292.6216,43179.406,40673.656,39407.711,39875.496,66875.914,67645.109,47987.676,51610.887,52755.484,53387.852,49630.953,48180.586,,0,27172.088,52354.383,51712.887,,,,40656.109,,52,41,32,52,52,52,52,52,52,52,45,52,52,52,52,,52,44,52,52,,,,51,,1,0,0,0
55,55,1,618159,11,58,1,1,0,1,1,0,0,,,6,,,,12,12,16722.086,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
56,55,1,594413,5,64,1,1,0,1,0,0,0,0,76.019997,7,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
57,57,1,569456.5,5,58,1,1,0,1,0,0,0,1,30.83,4,555,12,12,12,12,10802.468,6007.0522,2646.3108,479.77118,16940.578,22987.832,25184.523,30398.141,35613.16,47987.676,47924.395,45721.418,40040.887,49630.953,0,33198.836,31477.9,12227.439,3272.1489,1477.511,10665.782,13398.218,53635.328,62000.57,29082.018,50,8,1,3,52,52,52,52,52,44,52,52,52,52,52,52,35,52,19,45,52,52,52,52,21,1,0,0,0
58,58,1,601422.25,1,57,1,1,0,1,0,0,0,1,91.625,6,647,16,16,17,12,23410.92,18288.471,29109.418,23988.559,27115.771,27585.398,20987.104,29384.869,36806.898,42229.156,43316.281,40445.871,43377.629,43226.961,46626.371,50100.063,52653.941,51626.965,56280.961,,63994.695,61966.758,65203.73,98591.07,108.57287,52,52,52,52,52,52,40,52,52,52,52,52,52,52,52,52,52,52,52,,52,52,52,52,52,1,0,0,0
59,58,1,618532,1,59,1,1,0,1,1,0,0,1,98.841003,4,596,12,12,17,12,13377.669,,30167.941,33579.184,33894.715,35029.078,33936.145,40530.855,42178.715,43918.32,47924.395,49238.453,48382.738,43226.961,45072.16,43762.105,42924.41,57061.383,40574.645,,52143.824,55825.91,45937.082,45941.406,43623.027,49,40,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,0,0,0
60,58,1,567603,8,61,1,1,0,1,1,0,0,1,82.980003,5,605,12,12,16,12,,4505.2891,21170.486,,56491.191,54732.934,50369.047,55121.961,99478.102,134365.5,101378.53,105510.97,,96059.914,101023.8,98087.477,82987.195,95102.305,65442.977,,,,,,100817.66,50,17,29,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,,,,,52,1,0,0,0
61,61,1,492394.47,9,62,1,1,0,1,0,0,0,1,99.150002,7,435,14,14,16,12,,,13231.554,19910.504,18077.182,10946.586,32439.766,36931.715,37940.949,33591.375,21483.031,37983.949,40708.234,37577.035,54397.434,42253.066,45929.117,45377.387,52354.383,64025.477,65772.328,70340.648,68358.75,0,0,52,37,37,52,31,48,52,52,52,51,50,52,52,52,52,41,52,52,52,52,52,52,42,0,0,1,0,0,0
62,61,1,594413,7,64,1,1,0,1,0,0,0,0,36.383999,9,460,12,12,16,12,,,,,13557.886,17514.539,18888.393,18238.885,27853.869,28792.605,33178.426,35170.324,41709.258,40024.965,40409.523,41966.348,40062.781,43203.617,44501.223,33243.996,34367.523,33495.547,33443.203,46754.527,49439.43,,,,26,40,52,51,52,52,52,52,49,52,52,52,52,52,52,52,45,52,52,52,52,52,1,0,0,0
63,63,1,544910,2,60,1,1,0,1,1,0,0,1,87.933998,8,457,16,16,12,12,13377.669,13515.868,7938.9321,8395.9951,4067.3657,15325.221,35678.074,44583.941,69634.672,,,,,,86258.789,98087.477,97295.328,221667.17,150518.84,147751.09,142210.44,120583.96,126200.77,142296.39,159951.09,52,29,0,27,16,39,50,52,52,,,,,,52,52,52,52,52,52,52,52,52,52,52,1,0,0,0
64,63,1,600388,9,61,1,1,0,1,1,0,0,1,92.988998,8,574,,13,12,15,,7508.8154,31755.729,16791.99,18077.182,28898.988,19937.748,20873.391,,,,,,,,,,,,,,,,,,29,37,39,30,39,52,31,39,,,,,,,,,,,,,,,,,,1,0,0,0
65,63,1,541040.25,10,63,1,1,0,1,0,0,0,0,75.170998,12,447,,16,12,16,,,,4797.7119,2711.5771,2189.3174,3148.0654,12159.257,,,,,,,,,,,,,,,,,,,,30,37,34,25,30,49,,,,,,,,,,,,,,,,,,1,0,0,0
66,66,1,576974,1,64,1,1,0,1,1,0,0,0,22.649,11,443,14,14,17,12,,,,7196.5679,5649.1191,10946.586,2098.7102,24318.514,,,,,,,,,,,,,,27912.955,,,0,,,26,25,49,17,20,52,50,52,52,52,,52,52,52,52,52,,52,52,52,51,37,49,1,0,0,0
67,67,1,653863,1,58,1,1,0,1,1,0,0,1,93.246002,5,606,17,16,18,16,13377.669,7508.8154,30763.361,61890.48,44063.129,29336.852,,,198958.19,191952.63,1043328.8,305721.53,140143.11,6588248,243015.09,253061.16,200916.28,,,290577.16,,0,323729.16,317446.97,333309,51,50,40,52,35,13,,,52,52,48,29,35,31,52,52,48,,,52,,52,52,52,52,1,0,0,0
68,67,1,520833.16,3,62,1,1,0,1,0,0,0,1,100,7,594,16,16,17,16,,,4498.728,5757.2539,8360.6963,8100.4741,22036.459,44583.941,55707.738,82538.805,92162.297,87925.805,80081.773,48029.957,68385.344,40140.414,0,0,0,0,0,0,0,0,0,28,51,21,13,14,24,27,52,52,52,52,52,52,37,48,28,0,0,0,0,0,0,0,0,0,1,0,0,0
69,69,1,576974,7,64,1,1,0,1,1,0,0,0,86.703003,8,534,18,,16,17,,,,,3389.4714,4378.6348,3777.6785,10132.714,,,,,,,54397.434,60361.523,64386.613,72006.031,91620.172,87419.398,111398.17,133982.19,154595.94,148394.8,140563.09,,,,29,22,33,17,17,,,,,,,52,52,52,52,52,52,52,52,52,52,47,1,0,0,0
